央视台,#genre#
CCTV-1综合,http://121.24.98.136:8090/hls/9/index.m3u8
CCTV-2财经,http://121.24.98.136:8090/hls/10/index.m3u8
CCTV-3综艺,http://121.18.43.254:10000/hls/3/index.m3u8
CCTV-4中文国际,http://121.18.43.254:10000/hls/4/index.m3u8
CCTV-5体育,http://121.18.43.254:10000/hls/5/index.m3u8
CCTV-5+体育赛事,http://121.18.43.254:10000/hls/17/index.m3u8
CCTV-6电影,http://121.24.98.136:8090/hls/14/index.m3u8
CCTV-7国防军事,http://121.18.43.254:10000/hls/7/index.m3u8
CCTV-8电视剧,http://121.18.43.254:10000/hls/8/index.m3u8
CCTV-9纪录,http://121.18.43.254:10000/hls/9/index.m3u8
CCTV-10科教,http://121.18.43.254:10000/hls/10/index.m3u8
CCTV-11戏曲,http://125.93.74.27:9002/tsfile/live/0011_1.m3u8
CCTV-12社会与法,http://121.18.43.254:10000/hls/12/index.m3u8
CCTV-13新闻,http://121.18.43.254:10000/hls/13/index.m3u8
CCTV-14少儿,http://121.24.98.136:8090/hls/22/index.m3u8
CCTV-15音乐,http://121.24.98.136:8090/hls/23/index.m3u8
CCTV-16奥林匹克,http://123.189.36.155:9901/tsfile/live/1027_1.m3u8
CCTV-17农业农村,http://121.24.98.136:8090/hls/15/index.m3u8
CCTV-4K超高清,http://27.222.3.214/liveali-tp4k.cctv.cn/live/4K10M.stream/playlist.m3u8
CCTV-164K,http://123.189.36.7:9901/tsfile/live/1027_1.m3u8

卫视台,#genre#
北京卫视,http://121.18.43.254:10000/hls/22/index.m3u8
东方卫视,http://121.18.43.254:10000/hls/24/index.m3u8
天津卫视,http://121.18.43.254:10000/hls/25/index.m3u8
重庆卫视,http://121.18.43.254:10000/hls/34/index.m3u8
黑龙江卫视,http://121.18.43.254:10000/hls/29/index.m3u8
吉林卫视,http://121.24.98.136:8090/hls/37/index.m3u8
辽宁卫视,http://121.18.43.254:10000/hls/30/index.m3u8
内蒙古卫视,http://121.18.43.254:10000/hls/56/index.m3u8
宁夏卫视,https://hls.ningxiahuangheyun.com/live/nxws1M.m3u8
甘肃卫视,http://125.93.74.27:9002/tsfile/live/0118_1.m3u8
青海卫视,http://222.134.245.16:9901/tsfile/live/0140_1.m3u8
陕西卫视,http://121.24.98.136:8090/hls/86/index.m3u8
河北卫视,http://121.18.43.254:10000/hls/18/index.m3u8
山西卫视,http://118.81.53.140:9999/tsfile/live/0118_1.m3u8
山东卫视,http://121.18.43.254:10000/hls/27/index.m3u8
安徽卫视,http://121.24.98.136:8090/hls/81/index.m3u8
河南卫视,http://121.24.98.136:8090/hls/34/index.m3u8
湖北卫视,http://121.18.43.254:10000/hls/32/index.m3u8
湖南卫视,http://121.18.43.254:10000/hls/19/index.m3u8
江西卫视,http://121.18.43.254:10000/hls/40/index.m3u8
江苏卫视,http://121.18.43.254:10000/hls/21/index.m3u8
浙江卫视,http://121.24.98.136:8090/hls/79/index.m3u8
东南卫视,http://121.18.43.254:10000/hls/23/index.m3u8
厦门卫视,http://123.189.36.7:9901/tsfile/live/1054_1.m3u8
广东卫视,http://121.18.43.254:10000/hls/28/index.m3u8
深圳卫视,http://121.24.98.136:8090/hls/84/index.m3u8
广西卫视,http://121.24.98.136:8090/hls/85/index.m3u8
云南卫视,http://123.189.36.86:9901/tsfile/live/1055_1.m3u8
贵州卫视,http://121.18.43.254:10000/hls/39/index.m3u8
四川卫视,http://121.18.43.254:10000/hls/33/index.m3u8
新疆卫视,http://121.18.43.254:10000/hls/61/index.m3u8
兵团卫视,https://liveout.btzx.com.cn/62ds9e/yil08g.m3u8
西藏卫视,https://tv.vtibet.cn/live/vuXz3cg3TmRUYg.m3u8?secret=fbd07594fbbc98007278dcee18c23d14&time=66b9da33
海南卫视,http://123.189.36.7:9901/tsfile/live/1064_1.m3u8
三沙卫视,https://live2.hnntv.cn/srs/tv/ssws.m3u8?_upt=b57b2d671723456297

电影,#genre#
CHC动作电影频道,http://58.19.38.162:9901/tsfile/live/1037_1.m3u8
CHC家庭影院频道,http://58.19.38.162:9901/tsfile/live/1036_1.m3u8

数字电视,#genre#
CCTV怀旧剧场频道,http://110.241.188.219:808/hls/56/index.m3u8
CCTV风云剧场频道,http://110.241.188.219:808/hls/57/index.m3u8
CCTV女性时尚频道,http://111.61.236.247:9081/hls/59/index.m3u8
中国天气,http://hls.weathertv.cn/tslslive/qCFIfHB/hls/live_sd.m3u8

教育,#genre#
CETV1中国教育电视台一套,http://121.24.98.136:8090/hls/67/index.m3u8
CETV2中国教育电视台二套,http://111.225.113.186:808/tsfile/live/1037_1.m3u8
